park_name,scientific_name,category,common_names,conservation_status,observations
Great Smoky Mountains,Acalypha ostryifolia,Vascular Plant,Hornbeam-Leaved Three-Seeded Mercury,Least Concern,112
Yellowstone,Acalypha ostryifolia,Vascular Plant,Hornbeam-Leaved Three-Seeded Mercury,Least Concern,243
Yosemite,Acalypha ostryifolia,Vascular Plant,Hornbeam-Leaved Three-Seeded Mercury,Least Concern,150
Bryce,Acalypha rhomboidea,Vascular Plant,Virginia Threeseed Mercury,Least Concern,90
Great Smoky Mountains,Acalypha rhomboidea,Vascular Plant,Virginia Threeseed Mercury,Least Concern,96
Yellowstone,Acalypha rhomboidea,Vascular Plant,Virginia Threeseed Mercury,Least Concern,245
Yosemite,Acalypha rhomboidea,Vascular Plant,Virginia Threeseed Mercury,Least Concern,144
Bryce,Acalypha virginica,Vascular Plant,Virginia Threeseed Mercury,Least Concern,108
Great Smoky Mountains,Acalypha virginica,Vascular Plant,Virginia Threeseed Mercury,Least Concern,80
Yellowstone,Acalypha virginica,Vascular Plant,Virginia Threeseed Mercury,Least Concern,229
Yosemite,Acalypha virginica,Vascular Plant,Virginia Threeseed Mercury,Least Concern,143
Bryce,Acanthus flammea,Bird,Redpoll,Least Concern,95
Great Smoky Mountains,Acanthus flammea,Bird,Redpoll,Least Concern,68
Yellowstone,Acanthus flammea,Bird,Redpoll,Least Concern,241
Yosemite,Acanthus flammea,Bird,Redpoll,Least Concern,120
Bryce,Accipiter cooperii,Bird,Cooper's Hawk,Species of Concern,95
Great Smoky Mountains,Accipiter cooperii,Bird,Cooper's Hawk,Species of Concern,65
Yellowstone,Accipiter cooperii,Bird,Cooper's Hawk,Species of Concern,245
Yosemite,Accipiter cooperii,Bird,Cooper's Hawk,Species of Concern,138
Bryce,Accipiter gentilis,Bird,Northern Goshawk,Least Concern,109
Great Smoky Mountains,Accipiter gentilis,Bird,Northern Goshawk,Least Concern,78
Yellowstone,Accipiter gentilis,Bird,Northern Goshawk,Least Concern,232
Yosemite,Accipiter gentilis,Bird,Northern Goshawk,Least Concern,163
Bryce,Accipiter striatus,Bird,Sharp-Shinned Hawk,Species of Concern,62
Great Smoky Mountains,Accipiter striatus,Bird,Sharp-Shinned Hawk,Species of Concern,69
Yellowstone,Accipiter striatus,Bird,Sharp-Shinned Hawk,Species of Concern,200
Yosemite,Accipiter striatus,Bird,Sharp-Shinned Hawk,Species of Concern,115
Bryce,Acer glabrum,Vascular Plant,Rocky Mountain Maple,Least Concern,30
Great Smoky Mountains,Acer glabrum,Vascular Plant,Rocky Mountain Maple,Least Concern,123
Yellowstone,Acer glabrum,Vascular Plant,Rocky Mountain Maple,Least Concern,247
Yosemite,Acer glabrum,Vascular Plant,Rocky Mountain Maple,Least Concern,124
Bryce,Acer glabrum var. torreyi,Vascular Plant,Torrey's Maple,Least Concern,84
Great Smoky Mountains,Acer glabrum var. torreyi,Vascular Plant,Torrey's Maple,Least Concern,75
Yellowstone,Acer glabrum var. torreyi,Vascular Plant,Torrey's Maple,Least Concern,282
Yosemite,Acer glabrum var. torreyi,Vascular Plant,Torrey's Maple,Least Concern,160
Bryce,Acer leucoderme,Vascular Plant,Chalk Maple,Least Concern,125
Great Smoky Mountains,Acer leucoderme,Vascular Plant,Chalk Maple,Least Concern,107
Yellowstone,Acer leucoderme,Vascular Plant,Chalk Maple,Least Concern,256
Yosemite,Acer leucoderme,Vascular Plant,Chalk Maple,Least Concern,140
Bryce,Acer macrophyllum,Vascular Plant,Bigleaf Maple,Least Concern,105
Great Smoky Mountains,Acer macrophyllum,Vascular Plant,Bigleaf Maple,Least Concern,33
Yellowstone,Acer macrophyllum,Vascular Plant,Bigleaf Maple,Least Concern,252
Yosemite,Acer macrophyllum,Vascular Plant,Bigleaf Maple,Least Concern,134
Bryce,Acer negundo,Vascular Plant,Box-Elder,Least Concern,92
Great Smoky Mountains,Acer negundo,Vascular Plant,Box-Elder,Least Concern,72
Yellowstone,Acer negundo,Vascular Plant,Box-Elder,Least Concern,257
Yosemite,Acer negundo,Vascular Plant,Box-Elder,Least Concern,179
Bryce,Acer negundo var. violaceum,Vascular Plant,Boxelder,Least Concern,91
Great Smoky Mountains,Acer negundo var. violaceum,Vascular Plant,Boxelder,Least Concern,84
Yellowstone,Acer negundo var. violaceum,Vascular Plant,Boxelder,Least Concern,222
Yosemite,Acer negundo var. violaceum,Vascular Plant,Boxelder,Least Concern,164
Bryce,Acer nigrum,Vascular Plant,Black Maple,Least Concern,110
Great Smoky Mountains,Acer nigrum,Vascular Plant,Black Maple,Least Concern,86
Yellowstone,Acer nigrum,Vascular Plant,Black Maple,Least Concern,258
Yosemite,Acer nigrum,Vascular Plant,Black Maple,Least Concern,156
Bryce,Acer pensylvanicum,Vascular Plant,Moosewood,Least Concern,91
Great Smoky Mountains,Acer pensylvanicum,Vascular Plant,Moosewood,Least Concern,96
Yellowstone,Acer pensylvanicum,Vascular Plant,Moosewood,Least Concern,284
Yosemite,Acer pensylvanicum,Vascular Plant,Moosewood,Least Concern,134
Bryce,Acer platanoides,Vascular Plant,Norway Maple,Least Concern,83
Great Smoky Mountains,Acer platanoides,Vascular Plant,Norway Maple,Least Concern,53
Yellowstone,Acer platanoides,Vascular Plant,Norway Maple,Least Concern,243
Yosemite,Acer platanoides,Vascular Plant,Norway Maple,Least Concern,189
Bryce,Acer rubrum var. rubrum,Vascular Plant,Red Maple,Least Concern,114
Great Smoky Mountains,Acer rubrum var. rubrum,Vascular Plant,Red Maple,Least Concern,67
Yellowstone,Acer rubrum var. rubrum,Vascular Plant,Red Maple,Least Concern,274
Yosemite,Acer rubrum var. rubrum,Vascular Plant,Red Maple,Least Concern,147
Bryce,Acer rubrum var. trilobum,Vascular Plant,Trident Maple,Least Concern,99
Great Smoky Mountains,Acer rubrum var. trilobum,Vascular Plant,Trident Maple,Least Concern,105
Yellowstone,Acer rubrum var. trilobum,Vascular Plant,Trident Maple,Least Concern,251
Yosemite,Acer rubrum var. trilobum,Vascular Plant,Trident Maple,Least Concern,110
Bryce,Acer saccharinum,Vascular Plant,Silver Maple,Least Concern,121
Great Smoky Mountains,Acer saccharinum,Vascular Plant,Silver Maple,Least Concern,86
Yellowstone,Acer saccharinum,Vascular Plant,Silver Maple,Least Concern,229
Yosemite,Acer saccharinum,Vascular Plant,Silver Maple,Least Concern,167
Bryce,Acer saccharum,Vascular Plant,Sugar Maple,Least Concern,124
Great Smoky Mountains,Acer saccharum,Vascular Plant,Sugar Maple,Least Concern,59
Yellowstone,Acer saccharum,Vascular Plant,Sugar Maple,Least Concern,236
Yosemite,Acer saccharum,Vascular Plant,Sugar Maple,Least Concern,116
Bryce,Acer spicatum,Vascular Plant,Mountain Maple,Least Concern,89
Great Smoky Mountains,Acer spicatum,Vascular Plant,Mountain Maple,Least Concern,82
Yellowstone,Acer spicatum,Vascular Plant,Mountain Maple,Least Concern,263
Yosemite,Acer spicatum,Vascular Plant,Mountain Maple,Least Concern,143
Bryce,Achillea millefolium,Vascular Plant,Yarrow,Least Concern,99
Great Smoky Mountains,Achillea millefolium,Vascular Plant,Yarrow,Least Concern,45
Yellowstone,Achillea millefolium,Vascular Plant,Yarrow,Least Concern,270
Yosemite,Achillea millefolium,Vascular Plant,Yarrow,Least Concern,168
Bryce,Achillea millefolium var. occidentalis,Vascular Plant,Yarrow,Least Concern,119
Great Smoky Mountains,Achillea millefolium var. occidentalis,Vascular Plant,Yarrow,Least Concern,87
Yellowstone,Achillea millefolium var. occidentalis,Vascular Plant,Yarrow,Least Concern,277
Yosemite,Achillea millefolium var. occidentalis,Vascular Plant,Yarrow,Least Concern,131
Bryce,Achnatherum X bloomeri,Vascular Plant,Bloomer's Ricegrass,Least Concern,91
Great Smoky Mountains,Achnatherum X bloomeri,Vascular Plant,Bloomer's Ricegrass,Least Concern,82
Yellowstone,Achnatherum X bloomeri,Vascular Plant,Bloomer's Ricegrass,Least Concern,261
Yosemite,Achnatherum X bloomeri,Vascular Plant,Bloomer's Ricegrass,Least Concern,155
Bryce,Achnatherum contractum,Vascular Plant,Contracted Ricegrass,Species of Concern,122
Great Smoky Mountains,Achnatherum contractum,Vascular Plant,Contracted Ricegrass,Species of Concern,43
Yellowstone,Achnatherum contractum,Vascular Plant,Contracted Ricegrass,Species of Concern,219
Yosemite,Achnatherum contractum,Vascular Plant,Contracted Ricegrass,Species of Concern,165
Bryce,Achnatherum hymenoides,Vascular Plant,Indian Ricegrass,Least Concern,90
Great Smoky Mountains,Achnatherum hymenoides,Vascular Plant,Indian Ricegrass,Least Concern,88
Yellowstone,Achnatherum hymenoides,Vascular Plant,Indian Ricegrass,Least Concern,233
Yosemite,Achnatherum hymenoides,Vascular Plant,Indian Ricegrass,Least Concern,156
Bryce,Achnatherum latiglume,Vascular Plant,Sierra Needlegrass,Least Concern,92
Great Smoky Mountains,Achnatherum latiglume,Vascular Plant,Sierra Needlegrass,Least Concern,76
Yellowstone,Achnatherum latiglume,Vascular Plant,Sierra Needlegrass,Least Concern,233
Yosemite,Achnatherum latiglume,Vascular Plant,Sierra Needlegrass,Least Concern,137
Bryce,Achnatherum lemmonii,Vascular Plant,Lemmon's Needlegrass,Least Concern,87
Great Smoky Mountains,Achnatherum lemmonii,Vascular Plant,Lemmon's Needlegrass,Least Concern,100
Yellowstone,Achnatherum lemmonii,Vascular Plant,Lemmon's Needlegrass,Least Concern,245
Yosemite,Achnatherum lemmonii,Vascular Plant,Lemmon's Needlegrass,Least Concern,149
Bryce,Achnatherum lettermanii,Vascular Plant,Letterman's Needlegrass,Least Concern,63
Great Smoky Mountains,Achnatherum lettermanii,Vascular Plant,Letterman's Needlegrass,Least Concern,60
Yellowstone,Achnatherum lettermanii,Vascular Plant,Letterman's Needlegrass,Least Concern,252
Yosemite,Achnatherum lettermanii,Vascular Plant,Letterman's Needlegrass,Least Concern,129
Bryce,Achnatherum nelsonii ssp. dorei,Vascular Plant,Dore's Needlegrass,Least Concern,101
Great Smoky Mountains,Achnatherum nelsonii ssp. dorei,Vascular Plant,Dore's Needlegrass,Least Concern,63
Yellowstone,Achnatherum nelsonii ssp. dorei,Vascular Plant,Dore's Needlegrass,Least Concern,221
Yosemite,Achnatherum nelsonii ssp. dorei,Vascular Plant,Dore's Needlegrass,Least Concern,151
Bryce,Achnatherum nevadense,Vascular Plant,Nevada Needlegrass,Least Concern,74
Great Smoky Mountains,Achnatherum nevadense,Vascular Plant,Nevada Needlegrass,Least Concern,36
Yellowstone,Achnatherum nevadense,Vascular Plant,Nevada Needlegrass,Least Concern,272
Yosemite,Achnatherum nevadense,Vascular Plant,Nevada Needlegrass,Least Concern,149
Bryce,Achnatherum occidentale,Vascular Plant,Western Needlegrass,Least Concern,106
Great Smoky Mountains,Achnatherum occidentale,Vascular Plant,Western Needlegrass,Least Concern,73
Yellowstone,Achnatherum occidentale,Vascular Plant,Western Needlegrass,Least Concern,258
Yosemite,Achnatherum occidentale,Vascular Plant,Western Needlegrass,Least Concern,171
Bryce,Achnatherum occidentale ssp. californicum,Vascular Plant,California Needlegrass,Least Concern,77
Great Smoky Mountains,Achnatherum occidentale ssp. californicum,Vascular Plant,California Needlegrass,Least Concern,93
Yellowstone,Achnatherum occidentale ssp. californicum,Vascular Plant,California Needlegrass,Least Concern,235
Yosemite,Achnatherum occidentale ssp. californicum,Vascular Plant,California Needlegrass,Least Concern,174
Bryce,Achnatherum occidentale ssp. occidentale,Vascular Plant,Western Needlegrass,Least Concern,122
Great Smoky Mountains,Achnatherum occidentale ssp. occidentale,Vascular Plant,Western Needlegrass,Least Concern,68
Yellowstone,Achnatherum occidentale ssp. occidentale,Vascular Plant,Western Needlegrass,Least Concern,233
Yosemite,Achnatherum occidentale ssp. occidentale,Vascular Plant,Western Needlegrass,Least Concern,148
Bryce,Achnatherum occidentale ssp. pubescens,Vascular Plant,Pubescent Western Needlegrass,Least Concern,58
Great Smoky Mountains,Achnatherum occidentale ssp. pubescens,Vascular Plant,Pubescent Western Needlegrass,Least Concern,57
Yellowstone,Achnatherum occidentale ssp. pubescens,Vascular Plant,Pubescent Western Needlegrass,Least Concern,202
Yosemite,Achnatherum occidentale ssp. pubescens,Vascular Plant,Pubescent Western Needlegrass,Least Concern,148
Bryce,Achnatherum pinetorum,Vascular Plant,Pinewoods Needlegrass,Least Concern,101
Great Smoky Mountains,Achnatherum pinetorum,Vascular Plant,Pinewoods Needlegrass,Least Concern,75
Yellowstone,Achnatherum pinetorum,Vascular Plant,Pinewoods Needlegrass,Least Concern,288
Yosemite,Achnatherum pinetorum,Vascular Plant,Pinewoods Needlegrass,Least Concern,129
Bryce,Achnatherum richardsonii,Vascular Plant,Richardson's Needlegrass,Least Concern,76
Great Smoky Mountains,Achnatherum richardsonii,Vascular Plant,Richardson's Needlegrass,Least Concern,96
Yellowstone,Achnatherum richardsonii,Vascular Plant,Richardson's Needlegrass,Least Concern,255
Yosemite,Achnatherum richardsonii,Vascular Plant,Richardson's Needlegrass,Least Concern,143
Bryce,Achnatherum thurberianum,Vascular Plant,Thurber's Needlegrass,Least Concern,71
Great Smoky Mountains,Achnatherum thurberianum,Vascular Plant,Thurber's Needlegrass,Least Concern,73
Yellowstone,Achnatherum thurberianum,Vascular Plant,Thurber's Needlegrass,Least Concern,251
Yosemite,Achnatherum thurberianum,Vascular Plant,Thurber's Needlegrass,Least Concern,148
Bryce,Aconitum columbianum,Vascular Plant,Columbian Monkshood,Least Concern,63
Great Smoky Mountains,Aconitum columbianum,Vascular Plant,Columbian Monkshood,Least Concern,77
Yellowstone,Aconitum columbianum,Vascular Plant,Columbian Monkshood,Least Concern,242
Yosemite,Aconitum columbianum,Vascular Plant,Columbian Monkshood,Least Concern,136
Bryce,Aconitum columbianum ssp. columbianum,Vascular Plant,Columbian Monkshood,Least Concern,112
Great Smoky Mountains,Aconitum columbianum ssp. columbianum,Vascular Plant,Columbian Monkshood,Least Concern,91
Yellowstone,Aconitum columbianum ssp. columbianum,Vascular Plant,Columbian Monkshood,Least Concern,242
Yosemite,Aconitum columbianum ssp. columbianum,Vascular Plant,Columbian Monkshood,Least Concern,162
Bryce,Aconitum uncinatum,Vascular Plant,Blue Monkshood,Least Concern,115
Great Smoky Mountains,Aconitum uncinatum,Vascular Plant,Blue Monkshood,Least Concern,77
Yellowstone,Aconitum uncinatum,Vascular Plant,Blue Monkshood,Least Concern,248
Yosemite,Aconitum uncinatum,Vascular Plant,Blue Monkshood,Least Concern,142
Bryce,Acorus calamus,Vascular Plant,Sweetflag,Least Concern,121
Great Smoky Mountains,Acorus calamus,Vascular Plant,Sweetflag,Least Concern,63
Yellowstone,Acorus calamus,Vascular Plant,Sweetflag,Least Concern,232
Yosemite,Acorus calamus,Vascular Plant,Sweetflag,Least Concern,178
Bryce,Acris crepitans crepitans,Amphibian,Northern Cricket Frog,Least Concern,112
Great Smoky Mountains,Acris crepitans crepitans,Amphibian,Northern Cricket Frog,Least Concern,59
Yellowstone,Acris crepitans crepitans,Amphibian,Northern Cricket Frog,Least Concern,228
Yosemite,Acris crepitans crepitans,Amphibian,Northern Cricket Frog,Least Concern,132
Bryce,Acrobolbus ciliatus,Nonvascular Plant,Acrobolbus,Least Concern,114
Great Smoky Mountains,Acrobolbus ciliatus,Nonvascular Plant,Acrobolbus,Least Concern,77
Yellowstone,Acrobolbus ciliatus,Nonvascular Plant,Acrobolbus,Least Concern,233
Yosemite,Acrobolbus ciliatus,Nonvascular Plant,Acrobolbus,Least Concern,131
Bryce,Actaea pachypoda,Vascular Plant,White Baneberry,Least Concern,92
Great Smoky Mountains,Actaea pachypoda,Vascular Plant,White Baneberry,Least Concern,78
Yellowstone,Actaea pachypoda,Vascular Plant,White Baneberry,Least Concern,225
Yosemite,Actaea pachypoda,Vascular Plant,White Baneberry,Least Concern,112
Bryce,Actaea rubra,Vascular Plant,Western Baneberry,Least Concern,141
Great Smoky Mountains,Actaea rubra,Vascular Plant,Western Baneberry,Least Concern,77
Yellowstone,Actaea rubra,Vascular Plant,Western Baneberry,Least Concern,219
Yosemite,Actaea rubra,Vascular Plant,Western Baneberry,Least Concern,151
Bryce,Actitis macularia,Bird,Spotted Sandpiper,Least Concern,91
Great Smoky Mountains,Actitis macularia,Bird,Spotted Sandpiper,Least Concern,66
Yellowstone,Actitis macularia,Bird,Spotted Sandpiper,Least Concern,265
Yosemite,Actitis macularia,Bird,Spotted Sandpiper,Least Concern,156
Bryce,Actitis macularius,Bird,Spotted Sandpiper,Least Concern,86
Great Smoky Mountains,Actitis macularius,Bird,Spotted Sandpiper,Least Concern,87
Yellowstone,Actitis macularius,Bird,Spotted Sandpiper,Least Concern,290
Yosemite,Actitis macularius,Bird,Spotted Sandpiper,Least Concern,181
Bryce,Adenocaulon bicolor,Vascular Plant,American Trailplant,Least Concern,123
Great Smoky Mountains,Adenocaulon bicolor,Vascular Plant,American Trailplant,Least Concern,97
Yellowstone,Adenocaulon bicolor,Vascular Plant,American Trailplant,Least Concern,210
Yosemite,Adenocaulon bicolor,Vascular Plant,American Trailplant,Least Concern,130
Bryce,Adenostoma fasciculatum,Vascular Plant,Chamise,Least Concern,128
Great Smoky Mountains,Adenostoma fasciculatum,Vascular Plant,Chamise,Least Concern,57
Yellowstone,Adenostoma fasciculatum,Vascular Plant,Chamise,Least Concern,245
Yosemite,Adenostoma fasciculatum,Vascular Plant,Chamise,Least Concern,148
Bryce,Adiantum aleuticum,Vascular Plant,Five-Finger Fern,Least Concern,114
Great Smoky Mountains,Adiantum aleuticum,Vascular Plant,Five-Finger Fern,Least Concern,112
Yellowstone,Adiantum aleuticum,Vascular Plant,Five-Finger Fern,Least Concern,231
Yosemite,Adiantum aleuticum,Vascular Plant,Five-Finger Fern,Least Concern,152
Bryce,Adiantum jordanii,Vascular Plant,California Maidenhair Fern,Least Concern,93
Great Smoky Mountains,Adiantum jordanii,Vascular Plant,California Maidenhair Fern,Least Concern,62
Yellowstone,Adiantum jordanii,Vascular Plant,California Maidenhair Fern,Least Concern,249
Yosemite,Adiantum jordanii,Vascular Plant,California Maidenhair Fern,Least Concern,155
Bryce,Adiantum pedatum,Vascular Plant,Northern Maidenhair-Fern,Least Concern,94
Great Smoky Mountains,Adiantum pedatum,Vascular Plant,Northern Maidenhair-Fern,Least Concern,110
Yellowstone,Adiantum pedatum,Vascular Plant,Northern Maidenhair-Fern,Least Concern,241
Yosemite,Adiantum pedatum,Vascular Plant,Northern Maidenhair-Fern,Least Concern,127
Bryce,Adlumia fungosa,Vascular Plant,Climbing Fumitory,Least Concern,69
Great Smoky Mountains,Adlumia fungosa,Vascular Plant,Climbing Fumitory,Least Concern,53
Yellowstone,Adlumia fungosa,Vascular Plant,Climbing Fumitory,Least Concern,246
Yosemite,Adlumia fungosa,Vascular Plant,Climbing Fumitory,Least Concern,144
Bryce,Adoxa moschatellina,Vascular Plant,Muskroot,Least Concern,121
Great Smoky Mountains,Adoxa moschatellina,Vascular Plant,Muskroot,Least Concern,86
Yellowstone,Adoxa moschatellina,Vascular Plant,Muskroot,Least Concern,250
Yosemite,Adoxa moschatellina,Vascular Plant,Muskroot,Least Concern,155
Bryce,Aechmophorus clarkii,Bird,Clark's Grebe,Least Concern,99
Great Smoky Mountains,Aechmophorus clarkii,Bird,Clark's Grebe,Least Concern,68
Yellowstone,Aechmophorus clarkii,Bird,Clark's Grebe,Least Concern,244
Yosemite,Aechmophorus clarkii,Bird,Clark's Grebe,Least Concern,166
Bryce,Aechmophorus occidentalis,Bird,Western Grebe,Species of Concern,80
Great Smoky Mountains,Aechmophorus occidentalis,Bird,Western Grebe,Species of Concern,64
Yellowstone,Aechmophorus occidentalis,Bird,Western Grebe,Species of Concern,233
Yosemite,Aechmophorus occidentalis,Bird,Western Grebe,Species of Concern,132
Bryce,Aegilops cylindrica,Vascular Plant,Jointed Goatgrass,Least Concern,76
Great Smoky Mountains,Aegilops cylindrica,Vascular Plant,Jointed Goatgrass,Least Concern,66
Yellowstone,Aegilops cylindrica,Vascular Plant,Jointed Goatgrass,Least Concern,245
Yosemite,Aegilops cylindrica,Vascular Plant,Jointed Goatgrass,Least Concern,149
Bryce,Aegolius,Bird,Saw-Whet Owls,Least Concern,95
Great Smoky Mountains,Aegolius,Bird,Saw-Whet Owls,Least Concern,42
Yellowstone,Aegolius,Bird,Saw-Whet Owls,Least Concern,263
Yosemite,Aegolius,Bird,Saw-Whet Owls,Least Concern,191
Bryce,Aegolius acadicus,Bird,Northern Saw-Whet Owl,Least Concern,131
Great Smoky Mountains,Aegolius acadicus,Bird,Northern Saw-Whet Owl,Least Concern,86
Yellowstone,Aegolius acadicus,Bird,Northern Saw-Whet Owl,Least Concern,234
Yosemite,Aegolius acadicus,Bird,Northern Saw-Whet Owl,Least Concern,91
Bryce,Aegolius funereus,Bird,Boreal Owl,Least Concern,73
Great Smoky Mountains,Aegolius funereus,Bird,Boreal Owl,Least Concern,82
Yellowstone,Aegolius funereus,Bird,Boreal Owl,Least Concern,260
Yosemite,Aegolius funereus,Bird,Boreal Owl,Least Concern,167
Bryce,Aegopodium podagraria,Vascular Plant,Old Man's Beard,Least Concern,112
Great Smoky Mountains,Aegopodium podagraria,Vascular Plant,Old Man's Beard,Least Concern,52
Yellowstone,Aegopodium podagraria,Vascular Plant,Old Man's Beard,Least Concern,249
Yosemite,Aegopodium podagraria,Vascular Plant,Old Man's Beard,Least Concern,198
Bryce,Aeronautes saxatalis,Bird,White-Throated Swift,Least Concern,95
Great Smoky Mountains,Aeronautes saxatalis,Bird,White-Throated Swift,Least Concern,77
Yellowstone,Aeronautes saxatalis,Bird,White-Throated Swift,Least Concern,264
Yosemite,Aeronautes saxatalis,Bird,White-Throated Swift,Least Concern,178
Bryce,Aesculus californica,Vascular Plant,California Buckeye,Least Concern,108
Great Smoky Mountains,Aesculus californica,Vascular Plant,California Buckeye,Least Concern,89
Yellowstone,Aesculus californica,Vascular Plant,California Buckeye,Least Concern,246
Yosemite,Aesculus californica,Vascular Plant,California Buckeye,Least Concern,128
Bryce,Aesculus flava,Vascular Plant,Yellow Buckeye,Least Concern,117
Great Smoky Mountains,Aesculus flava,Vascular Plant,Yellow Buckeye,Least Concern,73
Yellowstone,Aesculus flava,Vascular Plant,Yellow Buckeye,Least Concern,212
Yosemite,Aesculus flava,Vascular Plant,Yellow Buckeye,Least Concern,119
Bryce,Aesculus glabra,Vascular Plant,Ohio Buckeye,Least Concern,76
Great Smoky Mountains,Aesculus glabra,Vascular Plant,Ohio Buckeye,Least Concern,94
Yellowstone,Aesculus glabra,Vascular Plant,Ohio Buckeye,Least Concern,247
Yosemite,Aesculus glabra,Vascular Plant,Ohio Buckeye,Least Concern,163
Bryce,Aesculus pavia,Vascular Plant,Red Buckeye,Least Concern,133
Great Smoky Mountains,Aesculus pavia,Vascular Plant,Red Buckeye,Least Concern,49
Yellowstone,Aesculus pavia,Vascular Plant,Red Buckeye,Least Concern,199
Yosemite,Aesculus pavia,Vascular Plant,Red Buckeye,Least Concern,164
Bryce,Aesculus sylvatica,Vascular Plant,Painted Buckeye,Least Concern,100
Great Smoky Mountains,Aesculus sylvatica,Vascular Plant,Painted Buckeye,Least Concern,69
Yellowstone,Aesculus sylvatica,Vascular Plant,Painted Buckeye,Least Concern,263
Yosemite,Aesculus sylvatica,Vascular Plant,Painted Buckeye,Least Concern,157
Bryce,Agalinis purpurea,Vascular Plant,Purple Gerardia,Least Concern,91
Great Smoky Mountains,Agalinis purpurea,Vascular Plant,Purple Gerardia,Least Concern,71
Yellowstone,Agalinis purpurea,Vascular Plant,Purple Gerardia,Least Concern,263
Yosemite,Agalinis purpurea,Vascular Plant,Purple Gerardia,Least Concern,176
Bryce,Agalinis setacea,Vascular Plant,Thread-Leaved Gerardia,Least Concern,116
Great Smoky Mountains,Agalinis setacea,Vascular Plant,Thread-Leaved Gerardia,Least Concern,82
Yellowstone,Agalinis setacea,Vascular Plant,Thread-Leaved Gerardia,Least Concern,202
Yosemite,Agalinis setacea,Vascular Plant,Thread-Leaved Gerardia,Least Concern,190
Bryce,Agalinis tenuifolia,Vascular Plant,Slender Gerardia,Least Concern,73
Great Smoky Mountains,Agalinis tenuifolia,Vascular Plant,Slender Gerardia,Least Concern,59
Yellowstone,Agalinis tenuifolia,Vascular Plant,Slender Gerardia,Least Concern,257
Yosemite,Agalinis tenuifolia,Vascular Plant,Slender Gerardia,Least Concern,145
Bryce,Agastache nepetoides,Vascular Plant,Hyssop,Least Concern,106
Great Smoky Mountains,Agastache nepetoides,Vascular Plant,Hyssop,Least Concern,76
Yellowstone,Agastache nepetoides,Vascular Plant,Hyssop,Least Concern,237
Yosemite,Agastache nepetoides,Vascular Plant,Hyssop,Least Concern,144
Bryce,Agastache scrophulariifolia,Vascular Plant,Purple Giant Hyssop,Least Concern,116
Great Smoky Mountains,Agastache scrophulariifolia,Vascular Plant,Purple Giant Hyssop,Least Concern,55
Yellowstone,Agastache scrophulariifolia,Vascular Plant,Purple Giant Hyssop,Least Concern,232
Yosemite,Agastache scrophulariifolia,Vascular Plant,Purple Giant Hyssop,Least Concern,133
Bryce,Agastache urticifolia,Vascular Plant,Nettleleaf Giant Hyssop,Least Concern,95
